Date,Area Type,Area,Product,Price
05/02/16,State,Minnesota,Premium - Conventional Areas,2.460
05/02/16,State,New York,Premium - Conventional Areas,2.709
05/02/16,State,Ohio,Premium - Conventional Areas,2.775
05/02/16,State,Texas,Premium - Conventional Areas,2.431
05/02/16,State,Washington,Premium - Conventional Areas,2.725
05/02/16,City,Cleveland,Premium - Conventional Areas,2.847
05/02/16,City,Denver,Premium - Conventional Areas,2.620
05/02/16,City,Miami,Premium - Conventional Areas,2.942
05/02/16,City,Seattle,Premium - Conventional Areas,2.668
05/02/16,US,U.S.,Midgrade,2.482
05/02/16,US,East Coast (PADD1),Midgrade,2.469
05/02/16,US,New England (PADD 1A),Midgrade,2.466
05/02/16,US,Central Atlantic (PADD 1B),Midgrade,2.532
05/02/16,US,Lower Atlantic (PADD 1C),Midgrade,2.431
05/02/16,US,Midwest (PADD 2),Midgrade,2.427
05/02/16,US,Gulf Coast (PADD 3),Midgrade,2.224
05/02/16,US,Rocky Mountain (PADD 4),Midgrade,2.388
05/02/16,US,West Coast (PADD 5),Midgrade,2.820
05/02/16,US,West Coast less California,Midgrade,2.532
05/02/16,State,California,Midgrade,2.935
05/02/16,State,Colorado,Midgrade,2.354
05/02/16,State,Florida,Midgrade,2.441
05/02/16,State,Massachusetts,Midgrade,2.411
05/02/16,State,Minnesota,Midgrade,2.250
05/02/16,State,New York,Midgrade,2.558
05/02/16,State,Ohio,Midgrade,2.526
05/02/16,State,Texas,Midgrade,2.213
05/02/16,State,Washington,Midgrade,2.580
05/02/16,City,Boston,Midgrade,2.411
05/02/16,City,Chicago,Midgrade,2.750
05/02/16,City,Cleveland,Midgrade,2.577
05/02/16,City,Denver,Midgrade,2.367
05/02/16,City,Houston,Midgrade,2.210
05/02/16,City,Los Angeles,Midgrade,2.983
05/02/16,City,Miami,Midgrade,2.687
05/02/16,City,New York City,Midgrade,2.469
05/02/16,City,San Francisco,Midgrade,2.989
05/02/16,City,Seattle,Midgrade,2.557
05/02/16,US,U.S.,Regular - Conventional Areas,2.168
05/02/16,US,East Coast (PADD1),Regular - Conventional Areas,2.218
05/02/16,US,New England (PADD 1A),Regular - Conventional Areas,2.285
05/02/16,US,Central Atlantic (PADD 1B),Regular - Conventional Areas,2.353
05/02/16,US,Lower Atlantic (PADD 1C),Regular - Conventional Areas,2.171
05/02/16,US,Midwest (PADD 2),Regular - Conventional Areas,2.161
05/02/16,US,Gulf Coast (PADD 3),Regular - Conventional Areas,2.006
05/02/16,US,Rocky Mountain (PADD 4),Regular - Conventional Areas,2.167
05/02/16,US,West Coast (PADD 5),Regular - Conventional Areas,2.369
05/02/16,US,West Coast less California,Regular - Conventional Areas,2.369
05/02/16,State,Colorado,Regular - Conventional Areas,2.098
05/02/16,State,Florida,Regular - Conventional Areas,2.195
05/02/16,State,Minnesota,Regular - Conventional Areas,2.116
05/02/16,State,New York,Regular - Conventional Areas,2.297
05/02/16,State,Ohio,Regular - Conventional Areas,2.300
05/02/16,State,Texas,Regular - Conventional Areas,2.000
05/02/16,State,Washington,Regular - Conventional Areas,2.387
05/02/16,City,Cleveland,Regular - Conventional Areas,2.313
05/02/16,City,Denver,Regular - Conventional Areas,2.089
05/02/16,City,Miami,Regular - Conventional Areas,2.371
05/02/16,City,Seattle,Regular - Conventional Areas,2.393
